id,dataset_id,category,prompt,completion,group_id
food-data.csv:000002,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d cup1 kcal114 lunch""}]","{""items"":[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup""}],""mealType"":""lunch""}","food-data.csv:[""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d""]"
food-data.csv:000004,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate cup1 beans, snap, green, canned, regular pack, drained solids snack""}]","{""items"":[{""name"":""beans, snap, green, canned, regular pack, drained solids"",""quantity"":1,""unit"":""cup""}],""mealType"":""snack""}","food-data.csv:[""beans, snap, green, canned, regular pack, drained solids""]"
food-data.csv:000005,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2cup broccoli, raw tomorrow""}]","{""items"":[{""name"":""broccoli, raw"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""broccoli, raw""]"
food-data.csv:000007,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate cup2 milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim) 156kcal 3d ago""}]","{""items"":[{""name"":""milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)""]"
food-data.csv:000009,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""frankfurter, beef, unheated piece3""}]","{""items"":[{""name"":""frankfurter, beef, unheated"",""quantity"":3,""unit"":""piece""}],""mealType"":""unknown""}","food-data.csv:[""frankfurter, beef, unheated""]"
food-data.csv:000011,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate cup0.4 cheese, ricotta, whole milk snack""}]","{""items"":[{""name"":""cheese, ricotta, whole milk"",""quantity"":0.4,""unit"":""cup""}],""mealType"":""snack""}","food-data.csv:[""cheese, ricotta, whole milk""]"
food-data.csv:000013,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""egg, whole, raw, frozen, pasteurized 250 grams ln -7d""}]","{""items"":[{""name"":""egg, whole, raw, frozen, pasteurized"",""quantity"":250,""unit"":""g""}],""mealType"":""late_night""}","food-data.csv:[""egg, whole, raw, frozen, pasteurized""]"
food-data.csv:000014,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 150 gr egg, white, raw, frozen, pasteurized""}]","{""items"":[{""name"":""egg, white, raw, frozen, pasteurized"",""quantity"":150,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""egg, white, raw, frozen, pasteurized""]"
food-data.csv:000015,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate cup1 egg, white, dried snack -7d""}]","{""items"":[{""name"":""egg, white, dried"",""quantity"":1,""unit"":""cup""}],""mealType"":""snack""}","food-data.csv:[""egg, white, dried""]"
food-data.csv:000016,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2tbsp sauce, salsa, ready-to-serve cal10 lunch""}]","{""items"":[{""name"":""sauce, salsa, ready-to-serve"",""quantity"":2,""unit"":""tablespoon""}],""mealType"":""lunch""}","food-data.csv:[""sauce, salsa, ready-to-serve""]"
